Address,StoreID,DistanceA,DistanceB,DistanceC,DistanceD,TimeA,TimeB,TimeC,TimeD
"8025 Mechanicsville Turnpike, Mechanicsville, VA 23111",1,11.1,60.5,91.3,99.7,16,57,85,103
"4475 S Laburnum Ave, Richmond, VA 23231",2,1.3,57.1,88.1,96.6,5,57,85,103
"1924 Walnut Dr, Chester, VA 23836",3,17.2,65.5,75.3,88.5,22,62,88,103
"1701 E Broad St, Richmond, VA 23223",4,7.9,62.6,93.6,102,13,59,88,107
"2308 Chamberlayne Ave, Richmond, VA 23222",5,8.7,63.3,94.4,103,14,60,89,108
"1 E Laburnum Ave, Richmond, VA 23222",6,8.1,63.3,94.3,103,18,64,93,112
"5024 Brook Rd, Richmond, VA 23227",7,12.7,67.3,98.3,107,19,66,95,114
"5201 Chamberlayne Rd, Richmond, VA 23227",8,12.9,67.5,98.5,107,19,65,95,113
"3908 Atlantic Ave, Virginia Beach, VA 23451",9,102,49.6,32.5,19.7,114,68,39,29
"3860 Shore Dr, Virginia Beach, VA 23455",10,92.6,40.2,26.8,15,104,53,34,25
"317 32nd St, Virginia Beach, VA 23451",11,102,49.3,31.8,19,111,58,36,27
"2400 Pacific Ave, Virginia Beach, VA 23451",12,101,49.1,31.7,18.8,111,58,36,27
"500 22nd St, Virginia Beach, VA 23451",13,101,48.6,31.2,18.4,108,55,33,25
"300 Virginia Beach Blvd, Virginia Beach, VA 23451",14,101,49,31.6,18.8,111,57,35,26
"1010 Pacific Ave, Virginia Beach, VA 23451",15,102,49.5,32,19.2,112,58,37,28
"745 Virginia Beach Blvd, Virginia Beach, VA 23451",16,101,48.7,31.2,18.4,110,55,34,26
"853 First Colonial Rd, Virginia Beach, VA 23451",17,99,46,29.2,16.4,108,50,33,25
"1829 Laskin Rd, Virginia Beach, VA 23454",18,98.3,46,28.5,15.7,106,51,31,22
"325 N Great Neck Rd, Virginia Beach, VA 23454",19,97.4,45.1,27.6,14.8,108,53,32,24
"2456 Virginia Beach Blvd, Virginia Beach, VA 23454",20,97.2,42.9,27.4,14.6,107,50,32,24
"3673 Virginia Beach Blvd, Virginia Beach, VA 23452",21,94.6,42.3,24.8,11.6,105,50,30,21
